actuary_42_econ_1	소비자 갑의 X재에 대한 수요곡선은 $Q_d = \dfrac{B}{2P}$이다. 시장 가격 $P = 10$, 소비자 갑의 소득 $B = 200$일 때, X재 수요의 소득탄력성은?	0.25 ||| 0.5 ||| 1 ||| 1.5
actuary_42_econ_2	소비자 갑은 X재와 Y재만을 소비하여 예산 범위 내에서 효용을 극대화하였다. 이때 X재의 가격은 10원, Y재의 가격은 2원, 예산은 50원, X재의 한계효용은 100, Y재의 한계효용은 20이다. 예산 1원이 추가적으로 증가할 때 소비자 갑의 효용 증가분은?	5 ||| 10 ||| 20 ||| 500
actuary_42_econ_3	재화의 분류에 관한 설명으로 옳지 않은 것은?	정상재의 경우, 수요의 소득탄력성은 0보다 크다. ||| 사치재의 경우, 수요의 소득탄력성은 1보다 크다. ||| 열등재의 경우, 가격이 하락하면 언제나 수요량이 증가한다. ||| 정상재의 경우, 가격이 상승할 때의 소득효과는 수요량을 감소시킨다.
actuary_42_econ_4	수요곡선은 우하향하고 공급곡선은 우상향할 때, 단위당 조세 또는 보조금을 부과하는 정책의 결과로 옳은 것을 모두 고르면? (단, 외부효과는 없다.)\n\n가. 조세 부과로 균형 가격은 상승한다.\n나. 보조금을 지급하면 사회 후생은 증가한다.\n다. 조세부과로 인한 부담은 궁극적으로 소비자와 생산자가 나누어지게 된다.	가 ||| 나 ||| 가, 다 ||| 나, 다
actuary_42_econ_5	소국 개방경제 A국에서 X재의 국내수요함수는 $Q_d = 2{,}000 - P$, 국내기업들의 공급함수는 $Q_s = P$이다. 현재 국제가격 $P = 1{,}200$일 때, X재 시장에 대한 설명으로 옳은 것은?	A국은 X재를 수입하고 있다. ||| A국이 대외무역을 중지하면 X재의 국내생산은 감소한다. ||| A국에서 X재 국내생산에 대해 보조금을 지급하면 국내소비가 증가한다. ||| A국에서 X재 국내생산에 대해 보조금을 지급하면 사회후생이 증가한다.
actuary_42_econ_6	X재에 대한 수요곡선은 $Q_d = 10{,}000 - P$, 공급곡선은 $Q_s = -2{,}000 + P$이다. 현재의 시장균형에서 정부가 최저가격을 8,000으로 정하는 경우 최저가격제 도입으로 인한 거래량 감소분과 초과공급량은? (단, $P$는 X재의 가격이다.)	2,000; 2,000 ||| 2,000; 4,000 ||| 4,000; 4,000 ||| 4,000; 6,000
actuary_42_econ_7	두 재화 $X, Y$를 소비하는 갑의 효용함수는 $U(X, Y) = XY$일 때, 이에 대한 설명으로 옳지 않은 것은?	서로 다른 무차별곡선은 교차하지 않는다. ||| 한 무차별곡선 상의 두 점은 동일한 효용을 준다. ||| 무차별 곡선은 우하향하는 직선이다. ||| X재의 한계효용은 X재 소비가 증가함에 따라 일정하다.
actuary_42_econ_8	A기업의 상품시장과 노동시장은 완전경쟁시장이고, 생산함수는 $Q = \sqrt{L}$이다. 이윤극대화를 추구하는 A기업의 비용에 관한 설명으로 옳지 않은 것은? (단, $Q$는 생산량, $L$은 노동이다.)	비용은 생산량의 제곱에 비례한다. ||| 생산량이 증가하면 한계비용은 증가한다. ||| 임금이 상승하면 이윤극대화 생산량은 감소하지만 총임금은 증가한다. ||| 상품가격이 상승하면 이윤극대화 생산량은 증가하고 총임금도 증가한다.
actuary_42_econ_9	독점적 경쟁시장에 관한 설명으로 옳지 않은 것은?	수많은 공급자가 가격 수용자로 행동한다. ||| 장기균형에서 기업들의 경제학적 이윤은 0이다. ||| 장기균형에서는 평균비용곡선의 최저점보다 더 적은 양을 생산한다. ||| 수많은 공급자가 서로 차별화된 상품을 공급하지만 공급된 상품들의 대체성이 높다.
actuary_42_econ_10	공유자원의 비극에 관한 설명으로 옳지 않은 것은?	공유자원의 비극은 자원의 독점 때문에 발생한다. ||| 공유자원의 사용은 다른 사람에게 부정적 외부효과를 발생시킨다. ||| 공유자원의 사용에 있어 사적 유인과 사회적 유인의 괴리가 발생한다. ||| 공유자원에 대해 재산권을 부여하는 것이 해결책이 될 수 있다.
