appraisal_2026_감정평가관계법규_1	1. 국토의 계획 및 이용에 관한 법령상 도시·군계획시설입체복합구역(이하 ‘입체복합구역’)에 관한 설명으로 옳은 것은? (단, 조례는 고려하지 않음)
appraisal_2026_감정평가관계법규_2	2. 국토의 계획 및 이용에 관한 법령상 공간재구조화계획을 입안하여 지정하는 용도구역을 모두 고른 것은?\nㄱ. 도시혁신구역\nㄴ. 시가화조정구역\nㄷ. 개발제한구역\nㄹ. 복합용도구역
appraisal_2026_감정평가관계법규_3	3. 국토의 계획 및 이용에 관한 법령상 국토교통부장관이 도시·군관리계획(지구단위계획, 도시혁신계획 및 복합용도계획은 제외)을 중앙도시계획위원회의 심의를 거치지 않고 변경할 수 있는 경우는? (단, 주어진 조건 외에 다른 조건은 고려하지 않음)
appraisal_2026_감정평가관계법규_4	4. 국토의 계획 및 이용에 관한 법령상 건축물의 주위에 하천이 있는 경우 광역시의 조례로 용적률을 따로 정할 수 있는 특례가 적용되는 용도지역이 아닌 것은?
appraisal_2026_감정평가관계법규_5	5. 국토의 계획 및 이용에 관한 법령상 용도지역 및 용도구역에서의 행위 제한에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_6	6. 국토의 계획 및 이용에 관한 법령상 개발행위에 따른 기반시설의 설치에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_7	7. 국토의 계획 및 이용에 관한 법령상 기반시설부담구역에 설치가 필요한 기반시설에 해당하지 않는 것은?
appraisal_2026_감정평가관계법규_8	8. 국토의 계획 및 이용에 관한 법령상 지구단위계획구역의 지정에 관한 설명으로 옳은 것은?
appraisal_2026_감정평가관계법규_9	9. 국토의 계획 및 이용에 관한 법령상 광역시설이 될 수 없는 것은?
appraisal_2026_감정평가관계법규_10	10. 국토의 계획 및 이용에 관한 법령상 도시·군계획시설사업의 시행에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_11	11. 국토의 계획 및 이용에 관한 법령상 시범도시의 지정·지원 등에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_12	12. 국토의 계획 및 이용에 관한 법령상 도시·군계획시설사업의 시행자(이하 ‘시행자’)에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_13	13. 국토의 계획 및 이용에 관한 법령상 중앙도시계획위원회에 관한 설명으로 옳은 것은?
appraisal_2026_감정평가관계법규_14	14. 부동산 가격공시에 관한 법령상 국토교통부장관이 공동주택가격 공시사항을 관보 공고일부터 10일 이내에 제공하여야 하는 자를 모두 고른 것은?\nㄱ. 행정안전부장관\nㄴ. 시·도지사\nㄷ. 시장·군수 또는 구청장\nㄹ. 국세청장
appraisal_2026_감정평가관계법규_15	15. 부동산 가격공시에 관한 법령상 표준지공시지가에 관한 설명으로 옳은 것은?
appraisal_2026_감정평가관계법규_16	16. 부동산 가격공시에 관한 법령상 개별공시지가에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_17	17. 감정평가 및 감정평가사에 관한 법령상 감정평가법인등의 권리와 의무에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_18	18. 감정평가 및 감정평가사에 관한 법령상 감정평가에 관한 설명으로 옳은 것은?
appraisal_2026_감정평가관계법규_19	19. 감정평가 및 감정평가사에 관한 법령상 감정평가법인등에 대한 과징금 부과에 관한 설명으로 옳은 것은?
appraisal_2026_감정평가관계법규_20	20. 국유재산법령상 수의의 방법으로 행정재산의 사용허가를 받을 자를 결정할 수 있는 경우를 모두 고른 것은? (단, 주어진 조건 외에 다른 조건은 고려하지 않음)\nㄱ. 경작용으로 실경작자에게 사용허가를 하는 경우\nㄴ. 국가와 재산을 공유하는 자에게 국가의 지분에 해당하는 부분에 대하여 사용허가를 하는 경우\nㄷ. 토지의 용도 등을 고려할 때 해당 재산에 인접한 토지의 소유자를 지명할 필요가 있는 경우\nㄹ. 국유재산의 관리·처분에 지장이 없는 경우로서 사용목적이나 계절적 요인 등을 고려하여 1년의 사용허가를 하는 경우
appraisal_2026_감정평가관계법규_21	21. 국유재산법령상 일반재산에 관한 설명으로 옳은 것은?
appraisal_2026_감정평가관계법규_22	22. 국유재산법령상 변상금의 징수에 관한 조문의 일부이다. ( )에 들어갈 숫자로 옳은 것은?\n○ 중앙관서의 장등은 무단점유자에 대하여 대통령령으로 정하는 바에 따라 그 재산에 대한 사용료나 대부료의 100분의 ( ㄱ )에 상당하는 변상금을 징수한다.\n○ 변상금은 무단점유를 하게 된 경위, 무단점유지의 용도 및 해당 무단점유자의 경제적 사정 등을 고려하여 대통령령으로 정하는 바에 따라 ( ㄴ )년의 범위에서 징수를 미루거나 나누어 내게 할 수 있다.
appraisal_2026_감정평가관계법규_23	23. 국유재산법령상 국유재산관리기금을 조성하는 재원으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_24	24. 건축법령상 시설군과 그에 속하는 건축물의 용도의 연결로 옳은 것은?
appraisal_2026_감정평가관계법규_25	25. 건축법령상 허가 대상 건축물이라 하더라도 건축신고를 하면 건축허가를 받은 것으로 보는 경우를 모두 고른 것은? (단, 주어진 조건 외에 다른 조건은 고려하지 않음)\nㄱ. 연면적이 160제곱미터이고 2층인 건축물의 대수선\nㄴ. 「국토의 계획 및 이용에 관한 법률」에 따른 지구단위계획구역에서 연면적이 180제곱미터이고 2층인 건축물의 건축\nㄷ. 소규모 건축물로서 연면적의 합계가 120제곱미터인 건축물의 건축\nㄹ. 2층 건축물에서 바닥면적의 합계가 100제곱미터인 증축
appraisal_2026_감정평가관계법규_26	26. 건축법령상 면적 등의 산정방법에 관한 조문의 일부이다. ( )에 들어갈 내용으로 옳은 것은?\n3. ( ㄱ ): 건축물의 각 층 또는 그 일부로서 벽, 기둥, 그 밖에 이와 비슷한 구획의 중심선으로 둘러싸인 부분의 수평투영면적으로 한다. 다만, 다음 각 목의 어느 하나에 해당하는 경우에는 각 목에서 정하는 바에 따른다.\n가. 벽·기둥의 구획이 없는 건축물은 그 지붕 끝부분으로부터 수평거리 ( ㄴ )미터를 후퇴한 선으로 둘러싸인 수평투영면적으로 한다.
appraisal_2026_감정평가관계법규_27	27. 건축법령상 건축물대장의 기재 내용이 변경되는 경우, 특별자치시장·특별자치도지사 또는 시장·군수·구청장이 관할 등기소에 그 등기를 촉탁하여야 하는 사유에 해당하지 않는 것은?
appraisal_2026_감정평가관계법규_28	28. 공간정보의 구축 및 관리 등에 관한 법령상 지목과 부호의 연결로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_29	29. 공간정보의 구축 및 관리 등에 관한 법령상 지적도의 축척에 해당하지 않는 것은?
appraisal_2026_감정평가관계법규_30	30. 공간정보의 구축 및 관리 등에 관한 법령상 토지개발사업의 시행자가 그 사업의 착수·변경 및 완료 사실을 지적소관청에 신고하여야 하는 사업이 아닌 것은? (단, 국토교통부장관의 고시는 고려하지 않음)
appraisal_2026_감정평가관계법규_31	31. 공간정보의 구축 및 관리 등에 관한 법령상 지적도의 등록사항을 모두 고른 것은? (단, 국토교통부장관이 따로 정하는 사항은 고려하지 않음)\nㄱ. 토지의 고유번호\nㄴ. 건축물 및 구조물 등의 위치\nㄷ. 부호 및 부호도\nㄹ. 도곽선(圖廓線)과 그 수치
appraisal_2026_감정평가관계법규_32	32. 부동산등기법령상 등기관이 임차권 설정 또는 임차물 전대의 등기를 할 때에 등기원인에 그 사항이 있는 경우에만 기록하는 사항이 아닌 것은?
appraisal_2026_감정평가관계법규_33	33. 부동산등기법령상 미등기의 토지에 관한 소유권보존등기를 신청할 수 있는 자에 해당하지 않는 것은?
appraisal_2026_감정평가관계법규_34	34. 부동산등기법령상 이의에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_35	35. 부동산등기법령상 등기절차에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_36	36. 도시 및 주거환경정비법령상 사업시행자가 사업시행계획인가를 받은 때에 의제될 수 있는 인·허가등에 해당하지 않는 것은?
appraisal_2026_감정평가관계법규_37	37. 도시 및 주거환경정비법령상 조합에 관한 설명으로 옳지 않은 것은?
appraisal_2026_감정평가관계법규_38	38. 도시 및 주거환경정비법령상 사업시행계획서에 포함되어야 하는 사항을 모두 고른 것은?\nㄱ. 세입자의 주거 및 이주 대책\nㄴ. 정비사업의 시행과정에서 발생하는 폐기물의 처리계획\nㄷ. 정비구역부터 200미터 이내에 설치된 교육시설의 교육환경 보호에 관한 계획\nㄹ. 사업시행기간 동안 정비구역 내 가로등 설치, 폐쇄회로 텔레비전 설치 등 범죄예방대책
appraisal_2026_감정평가관계법규_39	39. 도시 및 주거환경정비법령상 조합설립추진위원회의 구성·승인에 관한 조문의 일부이다. ( )에 들어갈 내용으로 옳은 것은?\n조합을 설립하려는 경우에는 다음 각 호의 사항에 대하여 토지등소유자 ( ㄱ )의 동의를 받아 조합설립을 위한 추진위원회를 구성하여 국토교통부령으로 정하는 방법과 절차에 따라 시장·군수등의 승인을 받아야 한다.\n1. 추진위원회 위원장을 포함한 ( ㄴ )명 이상의 추진위원회 위원\n2. < 생략 >
appraisal_2026_감정평가관계법규_40	40. 동산·채권 등의 담보에 관한 법령상 담보등기에 관한 설명으로 옳지 않은 것은?
