exam	year	number	answer	subject
보험계리사	2018	37	4	경제학
보험계리사	2018	32	3	회계학
보험계리사	2018	37	4	회계학
보험계리사	2021	4	1	경제학
보험계리사	2021	5	4	경제학
보험계리사	2021	6	3	경제학
보험계리사	2021	7	3	경제학
보험계리사	2021	8	1	경제학
보험계리사	2021	2	3	회계학
보험계리사	2021	12	4	회계학
보험계리사	2021	20	4	회계학
보험계리사	2021	28	4	회계학
보험계리사	2021	36	4	회계학
보험계리사	2022	5	1	경제학
보험계리사	2022	6	4	경제학
보험계리사	2022	7	4	경제학
보험계리사	2022	8	3	경제학
보험계리사	2022	2	2	회계학
보험계리사	2022	21	3	회계학
보험계리사	2022	29	4	회계학
보험계리사	2023	5	2	경제학
보험계리사	2023	6	2	경제학
보험계리사	2023	7	2	경제학
보험계리사	2023	8	4	경제학
보험계리사	2023	3	2	회계학
보험계리사	2023	12	1	회계학
보험계리사	2023	20	1	회계학
보험계리사	2023	28	3	회계학
보험계리사	2024	5	2	경제학
보험계리사	2024	6	4	경제학
보험계리사	2024	7	3	경제학
보험계리사	2024	8	2	경제학
보험계리사	2024	1	3	회계학
보험계리사	2024	28	1	회계학
보험계리사	2025	5	1	경제학
보험계리사	2025	6	2	경제학
보험계리사	2025	7	3	경제학
보험계리사	2025	8	3	경제학
보험계리사	2025	1	1	회계학
보험계리사	2025	4	4	회계학
보험계리사	2025	10	1	회계학
보험계리사	2025	11	2	회계학
보험계리사	2025	12	3	회계학
보험계리사	2025	13	3	회계학
보험계리사	2025	14	1	회계학
보험계리사	2025	15	3	회계학
보험계리사	2025	16	3	회계학
보험계리사	2025	17	4	회계학
보험계리사	2025	18	2	회계학
보험계리사	2025	19	1	회계학
보험계리사	2025	20	1	회계학
보험계리사	2025	21	4	회계학
보험계리사	2025	22	2	회계학
보험계리사	2025	23	2	회계학
보험계리사	2025	24	4	회계학
보험계리사	2025	25	4	회계학
보험계리사	2025	26	2	회계학
보험계리사	2025	27	3	회계학
보험계리사	2025	28	1	회계학
보험계리사	2025	29	4	회계학
보험계리사	2025	30	2	회계학
보험계리사	2025	31	2	회계학
보험계리사	2025	32	4	회계학
보험계리사	2025	33	1	회계학
보험계리사	2025	34	3	회계학
보험계리사	2025	35	4	회계학
보험계리사	2025	36	3	회계학
보험계리사	2025	37	2	회계학
보험계리사	2025	38	1	회계학
보험계리사	2025	39	3	회계학
보험계리사	2025	40	2	회계학
