actuary_49_acc_1	재무보고를 위한 개념체계에 대한 설명으로 옳지 않은 것은?	특정 거래나 다른 사건에 적용할 회계기준이 없거나 회계기준에서 회계정책 선택이 허용되는 경우에 재무제표 작성자가 일관된 회계정책을 개발하는 데 도움을 준다. ||| 기업이 개념체계에 기반한 신뢰성 있는 단일의 회계언어를 사용하면 자본비용이 낮아지고 국제보고 비용이 절감된다. ||| 개념체계는 회계기준위원회가 관련 업무를 통해 축적한 경험을 토대로 수시로 개정될 수 있으므로 개념체계가 개정된다면 자동으로 회계기준이 개정된다. ||| 개념체계는 회계기준이 아니므로 개념체계의 어떠한 내용도 회계기준이나 회계기준의 요구사항에 우선하지 아니한다.
actuary_49_acc_2	재무정보의 질적특성 중 표현충실성에 대한 설명으로 옳지 않은 것은?	중립성은 신중을 기함으로써 뒷받침되며, 자산이나 수익을 인식하기 위해서는 부채나 비용을 인식할 때보다 더욱 설득력 있는 증거가 뒷받침되어야 한다는 보수주의를 의미한다. ||| 오류가 없다는 것은 현상의 기술에 오류나 누락이 없고, 보고 정보를 생산하는 데 사용되는 절차의 선택과 적용 시 절차 상 오류가 없음을 의미한다. ||| 일부 항목의 경우 완전한 서술은 항목의 질과 성격, 그 항목의 질과 성격에 영향을 줄 수 있는 요인과 상황, 그리고 수량적 서술을 결정하는 데 사용된 절차에 대한 유의적인 사실에 대한 설명을 수반할 수도 있다. ||| 중립적 서술은 재무정보의 선택이나 표시에 편의가 없는 것이지만, 중립적 정보가 목적이 없거나 행동에 대한 영향력이 없는 정보를 의미하지는 않는다.
actuary_49_acc_3	괄호 안의 ㉠과 ㉡에 들어갈 측정기준은 각각 무엇인가?\n\n- 부채의 ( ㉠ )는 측정일 현재 동등한 부채에 대해 수취할 수 있는 대가에서 그 날에 발생할 거래원가를 차감한다.\n- ( ㉡ )는 측정일에 시장참여자 사이의 정상거래에서 자산을 매도할 때 받거나 부채를 이전할 때 지급하게 될 가격이다.	㉠ 현행원가 / ㉡ 공정가치 ||| ㉠ 이행가치 / ㉡ 현행원가 ||| ㉠ 사용가치 / ㉡ 현재가치 ||| ㉠ 공정가치 / ㉡ 이행가치
actuary_49_acc_4	재무상태표에 대한 설명으로 옳지 않은 것은?	기업이 보고기간말 현재 기존의 대출계약조건에 따라 보고기간 후 적어도 12개월 이상 부채를 연장할 권리가 있다면, 보고기간 후 12개월 이내에 만기가 도래한다 하더라도 비유동부채로 분류한다. ||| 신뢰성 있고 더욱 목적적합한 정보를 제공한다면 자산과 부채의 일부는 유동/비유동 구분법으로, 나머지는 유동성 순서에 따른 표시방법으로 표시하는 것이 허용된다. ||| 금융회사와 같은 일부 기업의 경우에는 오름차순이나 내림차순의 유동성 순서에 따른 표시방법으로 자산과 부채를 표시하는 것이 유동/비유동 구분법보다 신뢰성 있고 더욱 목적적합한 정보를 제공한다. ||| 기업이 재무상태표에 유동자산과 비유동자산, 그리고 유동부채와 비유동부채로 구분하여 표시하는 경우, 이연법인세자산(부채)은 유동자산(부채)으로 분류한다.
actuary_49_acc_5	다음은 20x1년 재무상태의 변동내역이다. 기초 자본은 자본금과 이익잉여금으로만 구성되어 있으며, 주당 액면금액은 ₩100이다. 20x1년에 인식할 포괄손익과 당기손익은?\n\n- 자산: ₩300,000 증가\n- 부채: ₩200,000 증가\n- 20x1년 중 주식 500주를 액면 발행(유상증자)\n- 20x1년 중 10% 주식배당\n- 기타포괄손익-공정가치측정금융자산 평가이익 ₩30,000 발생	포괄손익 ₩30,000 / 당기손익 ₩0 ||| 포괄손익 ₩50,000 / 당기손익 ₩20,000 ||| 포괄손익 ₩70,000 / 당기손익 ₩30,000 ||| 포괄손익 ₩100,000 / 당기손익 ₩70,000
actuary_49_acc_6	기말 자료가 다음과 같은 경우, 재무상태표에 보고될 현금 및 현금성자산은?\n\n| 항목 | 금액 | 항목 | 금액 |\n|---|---|---|---|\n| 당좌예금 | ₩8,000 | 차용증서 | ₩2,000 |\n| 타인발행수표 | ₩6,000 | 당좌개설보증금 | ₩1,000 |\n| 환매채 | ₩3,000 | 정기적금 | ₩5,000 |\n| 배당금지급통지서 | ₩7,000 | 우편환증서 | ₩4,000 |\n\n- 타인발행수표는 선일자수표에 해당되며, 환매채는 90일환매조건이다.\n- 정기적금은 3년 전에 가입하였고 보고기간 말 기준으로 만기가 3개월 남았다.	₩20,000 ||| ₩22,000 ||| ₩27,000 ||| ₩33,000
actuary_49_acc_7	20x1년 말 현재 매출채권은 ₩20,000이며, 손실충당금은 ₩800이다. 매출채권과 관련된 20x2년 거래가 다음과 같은 경우 20x2년에 인식할 손상차손은?\n\n- 20x2년 외상매출액은 ₩34,000이며, 20x2년 8월 손상액은 ₩1,000이다. 20x2년 9월에 20x1년 손상되었던 매출채권 ₩800이 회수되었다.\n- 20x2년 10월 매출채권 ₩14,000(20x1년 발생분) 중 매출환입 ₩5,000을 제외하고 나머지는 현금으로 회수되었고 20x2년 11월 ₩400이 손상되었다.\n- 기대신용손실 모형을 적용하여 20x2년 말 매출채권 잔액의 5%가 손상될 것으로 추정하였다.	₩1,380 ||| ₩1,730 ||| ₩1,980 ||| ₩2,530
actuary_49_acc_8	재고자산 회계처리에 대한 설명으로 옳은 것은?	통상적으로 상호교환 가능한 대량의 재고자산 항목에 개별법을 적용한다. ||| 지역별 위치나 과세방식이 다르다면 동일한 재고자산에 다른 단위원가 결정방법을 적용한다. ||| 매출총이익률법으로 평가한 결과가 실제 원가와 유사하면 편의상 매출총이익률법을 사용할 수 있다. ||| 특정한 고객을 위한 비제조 간접원가 또는 제품 디자인 원가를 재고자산 원가에 포함할 수 있다.
actuary_49_acc_9	단일상품을 판매하는 ㈜한국은 재고자산에 대해 실지재고조사법과 가중평균법을 적용하며, 기말에 장부상재고와 실제재고를 함께 확인한다. 20x1년 말 재고자산의 단위당 순실현가능가치는 ₩100이며, 20x1년 재고자산평가손실은 ₩7,770이다. 20x1년 재고자산과 관련된 정보가 다음과 같은 경우, 20x1년 포괄손익계산서에 보고할 매출원가는? 단, 감모의 80%는 정상감모이며, 정상감모손실과 재고자산평가손실은 매출원가에 반영하고 비정상감모손실은 기타비용으로 처리한다.\n\n| 일자 | 적요 | 수량 | 단위당 원가 |\n|---|---|---|---|\n| 1월 1일 | 기초재고 | 300개 | ₩100 |\n| 3월 1일 | 매출 | 200개 | - |\n| 5월 1일 | 매입 | 700개 | ₩130 |\n| 9월 1일 | 매출 | 400개 | - |	₩80,370 ||| ₩81,096 ||| ₩83,274 ||| ₩84,000
actuary_49_acc_10	㈜한국은 저가기준으로 가중평균 소매재고법을 적용하고 있으며, 정상파손은 매출원가에 반영하고 비정상파손은 기타비용으로 처리한다. 재고자산 관련 정보가 다음과 같은 경우, 포괄손익계산서에 보고할 매출총이익은? 단, 원가율은 소수점 셋째자리에서 반올림한다.\n\n| 구분 | 원가 | 판매가 |\n|---|---|---|\n| 기초재고 | ₩2,400 | ₩3,000 |\n| 총매입액 | ₩24,180 | ₩30,000 |\n| 매입할인 | ₩1,500 | - |\n| 총매출액 | - | ₩30,780 |\n| 순인상액 | - | ₩2,850 |\n| 순인하액 | - | ₩1,500 |\n| 정상파손 | - | ₩1,000 |\n| 비정상파손 | ₩300 | ₩450 |\n| 종업원할인 | - | ₩500 |	₩7,118 ||| ₩7,134 ||| ₩7,183 ||| ₩7,620
actuary_49_acc_11	수익인식단계 중 거래가격 산정에 관한 설명으로 옳지 않은 것은?	고객에게 지급할 대가가 고객에게서 받은 구별되는 재화에 대한 지급이라면 다른 공급자에게서 구매한 경우와 같은 방법으로 회계처리하며, 고객에게 지급할 대가가 받은 재화의 공정가치를 초과한다면 초과액을 별도 비용으로 회계처리한다. ||| 계약 당사자들 간에 합의한 지급시기 때문에 고객에게 재화나 용역을 이전하면서 유의적인 금융 효익이 고객이나 기업에 제공되는 경우에는 화폐의 시간가치가 미치는 영향을 반영하여 약속된 대가를 조정한다. ||| 고객이 현금 외의 형태로 대가를 약속한 계약의 경우에 거래가격을 산정하기 위하여 비현금 대가를 공정가치로 측정한다. ||| 고객에게서 받은 대가의 일부나 전부를 고객에게 환불할 것으로 예상하는 경우에는 환불부채를 인식하며 환불부채는 기업이 받았거나 받을 대가 중에서 권리를 갖게 될 것으로 예상하지 않는 금액(거래가격에 포함되지 않는 금액)으로 측정한다.
actuary_49_acc_12	'고객과의 계약에서 생기는 수익' 중 보증의 제공에 대한 설명으로 옳지 않은 것은?	고객이 보증을 별도로 구매할 수 있는 선택권이 있다면 그 보증은 구별되는 용역이다. ||| 제품이 손해나 피해를 끼치는 경우에 기업이 보상하도록 요구하는 법률 때문에 수행의무가 생기지는 않는다. ||| 보증이 제품이 합의된 규격에 부합한다는 확신에 더하여 고객에게 용역을 제공한다면 이 약속한 용역은 수행의무이다. ||| 기업이 확신 유형과 용역 유형의 보증을 모두 약속하였으나 이를 합리적으로 구별할 수 없다면, 두 가지 보증의 예상원가를 각각 충당부채로 인식한다.
actuary_49_acc_13	㈜한국은 20x1년 초 계약금액 ₩10,000의 건설계약을 체결하였으며, 20x3년 말에 완공하였다. ㈜한국은 건설 기간에 걸쳐 수익을 인식(진행기준)하며, 진행률은 누적 발생원가를 추정총계약원가로 나눈 비율로 측정한다. 건설계약과 관련된 정보가 다음과 같은 경우, 20x2년 포괄손익계산서에 보고할 계약손익은?\n\n| 구분 | 20x1년 | 20x2년 | 20x3년 |\n|---|---|---|---|\n| 추정총계약원가 | ₩9,000 | ₩10,200 | ₩10,400 |\n| 당기발생원가 | ₩1,800 | ₩6,360 | ₩2,240 |\n| 계약대금청구 | ₩1,600 | ₩5,000 | ₩3,400 |	손실 ₩120 ||| 손실 ₩320 ||| 손실 ₩360 ||| 손실 ₩400
actuary_49_acc_14	㈜한국은 20x1년 말 상품을 ₩700에 판매하기로 계약하였다. 이 계약의 일부로 판매 다음 날부터 100일 이내의 ₩700 한도 구매에 대해 67.5%의 할인권을 고객에게 제공하였다. ㈜한국은 계약일에 상품을 고객에게 인도하고 상품에 대한 통제권을 이전하였다. ㈜한국은 할인권 사용 기간과 동일한 기간에 계절 판촉활동으로 모든 판매에 5% 할인을 제공한다. 5% 할인은 67.5% 할인권에 추가하여 사용할 수 없다. 고객이 추가 상품을 평균 ₩350에 구매하며 고객의 80%가 할인권을 사용할 것으로 추정된다. 20x1년 포괄손익계산서에 보고할 수익은? 단, 계산된 금액은 소수점 첫째자리에서 반올림하며, 할인권은 고객에게 중요한 권리를 제공한다.	₩175 ||| ₩467 ||| ₩560 ||| ₩700
actuary_49_acc_15	㈜한국은 20x1년 초에 사채(액면 ₩1,000,000, 액면이자율 5%, 유효이자율 8%, 액면이자는 매년 말 후급)와 주식을 각각 ₩850,000과 ₩800,000에 취득하고 모두 기타포괄손익-공정가치측정(FVOCI)금융자산으로 분류하였다. 주식 취득에는 취득부대비용이 ₩3,000 발생하였으며, ㈜한국은 20x2년 초에 동 사채와 주식을 각각 ₩870,000과 ₩810,000에 처분하였다. 금융자산 처분으로 증가하는 20x2년 당기순이익은?	₩2,000 ||| ₩7,000 ||| ₩9,000 ||| ₩12,000
actuary_49_acc_16	㈜한국은 20x1년 10월 1일 공장건물과 기계장치를 일괄 취득하고 취득대가로 ㈜한국의 주식 100주를 교부하였으며 부동산 중개수수료로 ₩30,000을 지출하였다. 취득 당시 공장건물과 기계장치의 감정평가금액은 각각 ₩500,000과 ₩300,000이며, 주식의 1주당 공정가치는 ₩6,000(액면 ₩5,000)이다. ㈜한국이 인식할 기계장치의 취득원가는? 단, 취득한 공장건물과 기계장치의 공정가치는 명확하지 않다.	₩187,500 ||| ₩225,000 ||| ₩236,250 ||| ₩300,000
actuary_49_acc_17	㈜한국은 보유하던 토지(장부금액 ₩100,000)를 ㈜민국이 보유하던 건물(장부금액 ₩120,000, 공정가치 ₩140,000)과 교환하면서 ㈜민국으로부터 현금 ₩10,000을 수령하였다. 동 교환거래의 상업적 실질이 인정되는 경우, ㈜한국이 인식할 건물의 취득원가와 유형자산처분이익은?	건물 ₩140,000 / 처분이익 ₩40,000 ||| 건물 ₩140,000 / 처분이익 ₩50,000 ||| 건물 ₩150,000 / 처분이익 ₩40,000 ||| 건물 ₩150,000 / 처분이익 ₩50,000
actuary_49_acc_18	㈜한국은 20x1년 중 토지를 ₩800,000에 처분하였는데, 동 토지의 최초 취득금액은 ₩500,000이고, 보유기간 중 재평가잉여금 ₩150,000이 발생하였다. 토지의 처분 과정에서 처분비용 ₩10,000이 발생하였다면, ㈜한국이 20x1년에 인식할 토지처분이익은?	₩140,000 ||| ₩150,000 ||| ₩290,000 ||| ₩300,000
actuary_49_acc_19	㈜한국은 20x1.3.1~20x2.9.30 동안 적격자산인 건물을 신축하였으며 일자별 지출금액과 차입금 현황은 다음과 같다. 차입금은 모두 적격자산 지출에 사용되었으며, ㈜한국은 특정차입금 중 ₩300,000을 20x1.3.1~20x1.5.31 동안 연 4%의 투자수익률로 일시 투자하여 투자수익을 획득하였다. ㈜한국이 20x1년에 인식할 자본화차입원가는? 단, 연평균 지출액과 이자비용은 월할계산하고, 자본화이자율은 소수점 다섯째 자리에서 반올림하며, 계산금액은 소수점 첫째자리에서 반올림한다.\n\n- 일자별 지출금액\n\n| 일자 | 금액 | 일자 | 금액 |\n|---|---|---|---|\n| 20x1.3.1 | ₩1,200,000 | 20x1.10.1 | ₩4,200,000 |\n\n- 차입금 현황\n\n| 구분 | 금액 | 차입일 | 상환일 | 연 이자율 |\n|---|---|---|---|---|\n| 특정차입금 | ₩1,500,000 | 20x1.3.1 | 20x2.9.30 | 3% |\n| 일반차입금 | ₩3,000,000 | 20x1.7.1 | 20x2.11.30 | 6% |\n| 일반차입금 | ₩2,700,000 | 20x1.10.1 | 20x3.7.31 | 5% |	₩84,288 ||| ₩83,020 ||| ₩81,753 ||| ₩80,020
actuary_49_acc_20	㈜한국은 20x1년 초 기계장치를 ₩500,000에 취득하였으며, 20x2년 말과 20x3년 말 동 기계장치의 순공정가치와 사용가치는 다음과 같다. ㈜한국이 기계장치를 정액법(내용연수 5년, 잔존가치 ₩0)으로 감가상각할 때, 20x3년에 인식할 감가상각비와 손상차손환입액은?\n\n| 구분 | 순공정가치 | 사용가치 |\n|---|---|---|\n| 20x2년 말 | ₩200,000 | ₩240,000 |\n| 20x3년 말 | ₩150,000 | ₩220,000 |	감가상각비 ₩80,000 / 손상차손환입 ₩40,000 ||| 감가상각비 ₩80,000 / 손상차손환입 ₩60,000 ||| 감가상각비 ₩100,000 / 손상차손환입 ₩40,000 ||| 감가상각비 ₩100,000 / 손상차손환입 ₩60,000
actuary_49_acc_21	㈜한국이 수행한 다음 거래와 관련하여 부채로 기록할 금액은? 단, 화폐의 시간가치는 고려하지 않는다.\n\n(가) 원재료를 ₩1,000에 매입하고 대가는 1개월 후에 ㈜한국의 주식 100주를 발행해 주기로 함\n(나) 상품을 ₩1,500에 매입하고 대가는 1개월 후에 ₩1,500 상당의 ㈜한국 주식을 발행해 주기로 함\n(다) 보유자(㈜민국)가 상환 권리를 갖는 상환우선주 ₩4,000을 발행함	₩1,500 ||| ₩4,000 ||| ₩5,000 ||| ₩5,500
actuary_49_acc_22	㈜한국은 20x1년 초에 액면금액 ₩800,000의 사채를 발행하였다. 사채의 만기일은 20x2년 말이며, 이자지급일은 매년 6월 말과 12월 말이다. 사채의 표시이자율은 연 4%, 유효이자율은 연 8%일 때, ㈜한국이 20x1년에 인식할 이자비용은? 단, 계산금액은 소수점 첫째자리에서 반올림한다.\n\n| 할인율 | 단일금액 1원의 현재가치 1기간 | 2기간 | 3기간 | 4기간 | 합계 |\n|---|---|---|---|---|---|\n| 4% | 0.9615 | 0.9246 | 0.8890 | 0.8548 | 3.6299 |\n| 8% | 0.9259 | 0.8573 | 0.7938 | 0.7350 | 3.3120 |	₩59,353 ||| ₩59,432 ||| ₩59,901 ||| ₩61,169
