actuary_45_econ_1	재화 $X, Y$에 대한 소비자 갑의 예산제약선이 $P_X X + P_Y Y = M$이다. 정부가 소득에 대해 정액세(lump-sum tax) $u$를, $X$에 대해 단위당 종량세(quantity tax) $t$를 부과하고, $Y$에 대해 단위당 보조금(subsidy) $s$를 지급할 때, 새로운 예산제약선으로 옳은 것은? (단, $P_X, P_Y$는 재화 $X, Y$의 가격이며 $M$은 소비자 갑의 소득이다.)	$(P_X - t)X + (P_Y + s)Y = M - u$ ||| $(P_X - t)X + (P_Y + s)Y = M + u$ ||| $(P_X + t)X + (P_Y - s)Y = M - u$ ||| $(P_X + t)X + (P_Y - s)Y = M + u$
actuary_45_econ_2	재화 $X, Y$에 대한 소비자 갑의 효용함수가 $u(X, Y) = \sqrt{X + Y}$이다. $X$의 가격은 2, $Y$의 가격은 1, 갑의 소득은 10이다. 효용을 극대화하는 $X$의 수요량은?	0 ||| $\sqrt{5}$ ||| 5 ||| $\sqrt{10}$
actuary_45_econ_3	소비자 갑은 두 재화 $X, Y$만을 소비하고 있다. $X, Y$재의 가격이 각각 4, 3이며, 갑은 현재 $X$재 8단위, $Y$재 6단위를 소비하고, 이때 한계효용이 각각 12와 9이다. 이에 관한 설명으로 옳은 것은? (단, 소비자 갑의 선호는 강볼록성(strict convexity)을 만족한다.)	$X$재 소비를 1단위 늘리고 $Y$재 소비를 1단위 줄이면 효용이 극대화된다. ||| $Y$재 소비를 1단위 늘리고 $X$재 소비를 1단위 줄이면 효용이 극대화된다. ||| $X$재 소비만 1단위 줄이면 효용이 극대화된다. ||| 현재 효용을 극대화하고 있다.
actuary_45_econ_4	__FIGURE__
actuary_45_econ_5	기업 A의 비용함수가 생산량 $Q$에 대해 $c(Q) = 10Q^2 + 1000$일 때, 평균비용을 최소화하는 생산량은?	10 ||| 15 ||| 20 ||| 25
actuary_45_econ_6	노동($L$) 1단위의 가격이 20, 자본($K$) 1단위의 가격이 80일 때, 기업 A가 생산함수 $Q = 4K^2 + L^2$을 이용하여 최소 비용으로 $Q = 100$을 생산하는 경우, 노동과 자본의 최적 투입량 $(L, K)$로 옳은 것은?	$(0, 5)$ ||| $(2\sqrt{5}, 2\sqrt{5})$ ||| $(2\sqrt{5}, 10)$ ||| $(10, 0)$
actuary_45_econ_7	$X$재 시장에 두 기업 $A, B$만이 존재하고, 공급곡선이 각각 $Q_A = P - 10$, $Q_B = P - 15$일 때, 이에 관한 설명으로 옳은 것을 모두 고르면? (단, 기업 $A, B$는 가격수용자이고, $P$는 $X$재 가격이다.)\n\nㄱ. 가격이 10보다 낮은 경우에 두 기업 모두 공급하지 못한다.\nㄴ. 가격이 15인 경우에 시장 공급량은 5이다.\nㄷ. 가격이 15보다 높은 경우에 두 기업 모두 공급한다.	ㄱ ||| ㄱ, ㄷ ||| ㄴ, ㄷ ||| ㄱ, ㄴ, ㄷ
actuary_45_econ_8	독점기업 $A$가 직면한 시장수요곡선이 $Q_d = 10 P^{-3}$이고, 비용함수가 $c(Q) = 2Q$일 때, 이윤을 극대화하는 생산량은? (단, $Q_d$는 시장수요량, $P$는 가격, $Q$는 생산량이다.)	10 ||| $10 \times 2^{-3}$ ||| $10 \times 3^{-3}$ ||| $10 \times 5^{-3}$
actuary_45_econ_9	독점기업 A는 한 가지 재화를 생산하여 현재 두 개의 분리된 시장에 공급하고 있다. 첫 번째 시장의 수요곡선은 $Q_1 = 100 - P_1$, 두 번째 시장의 수요곡선은 $Q_2 = 100 - 2P_2$이며, A기업의 한계비용은 20이다. 두 시장에 대해 현재와 같이 분리 공급하여 가격차별 하는 방식을 새로이 통합 공급하여 동일 가격을 설정하는 방식으로 변경하고자 한다. A기업의 이윤 극대화 결과에 관한 설명 중 옳지 않은 것은? (단, $P_1, Q_1$은 각각 첫 번째 시장의 가격과 공급량, $P_2, Q_2$는 각각 두 번째 시장의 가격과 공급량이다.)	분리 공급할 때, 첫 번째 시장의 공급량이 두 번째 시장의 공급량보다 크다. ||| 분리 공급할 때, 첫 번째 시장의 가격이 두 번째 시장의 가격보다 높다. ||| 통합 공급할 때의 공급량이 분리 공급할 때의 두 시장의 공급량 합보다 크다. ||| 통합 공급할 때의 가격이 분리 공급할 때의 두 번째 시장의 가격보다 높다.
actuary_45_econ_10	__FIGURE__
actuary_45_econ_11	아래 표는 기업 A의 노동 투입의 증가에 따른 생산량 변화를 나타내고 있다. (   )안에 들어갈 내용으로 옳지 않은 것은?\n\n| 노동 투입량 | 총생산량 | 평균생산량 | 한계생산량 |\n|---|---|---|---|\n| 0 | 0 | 0 | - |\n| 1 | 180 | 180 | ( ① ) |\n| 2 | ( ② ) | ( ③ ) | 140 |\n| 3 | 420 | 140 | ( ④ ) |\n| ... | ... | ... | ... |	180 ||| 320 ||| 160 ||| 120
