actuary_41_acc_1	자본시장과 회계정보에 대한 설명으로 옳은 것은?
actuary_41_acc_2	회계기준에 제시된 일반목적재무보고의 목적에 대한 설명으로 옳지 않은 것은?
actuary_41_acc_3	아래 자료를 이용할 때, 자본유지개념 중 실물자본유지개념 하에서 ㈜한국의 당기손익은?\n\n- 기초에 현금 ₩1,000으로 영업을 시작하였다.\n- 기초에 상품A를 단위당 ₩200에 4개를 구입하고, 기중에 2개를 단위당 ₩300에 판매하였다.\n- 당기 일반물가상승률은 10%이다.\n- 물가상승으로 인해 기말 현재 상품A의 가격은 ₩300이다.\n- 기말현재 자산은 현금 ₩800과 상품A 2개이다.
actuary_41_acc_4	회계기준에 제시된 재무제표 표시의 일반사항에 대한 설명으로 옳지 않은 것은?
actuary_41_acc_5	회계기준에 제시된 재무제표에 대한 설명으로 옳지 않은 것은?
actuary_41_acc_6	회계기준에 제시된 포괄손익계산서에 대한 설명으로 옳은 것은?
actuary_41_acc_7	회계기준에 제시된 현금흐름표에 대한 설명으로 옳지 않은 것은?
actuary_41_acc_8	다음의 20×1년 ㈜한국의 재무제표와 거래 자료를 이용할 때, 20×1년 말 매입채무 잔액은?\n\n|  |  |  |  |\n|---|---|---|---|\n| 기초매입채무 | ₩4,000 | 당기매입 중 현금지급액 | ₩17,500 |\n| 기초상품재고 | ₩6,000 | 기말상품재고 | ₩5,500 |\n| 당기매출액 | ₩25,000 | 매출총이익 | ₩5,000 |
actuary_41_acc_9	㈜한국은 재고자산의 가격결정 방법으로 선입선출을 가정한 소매재고법(매출가격환원법)을 사용하고 있으며, 20×1년도 선입선출법 원가율은 60%이다. 다음 자료를 이용할 때, ㈜한국의 20×1년 매출원가는?\n\n|  |  |  |  |\n|---|---|---|---|\n| 기초재고 원가 | ₩100 | 기초재고 판매가 | ₩400 |\n| 당기매입 원가 | ₩600 | 당기매입 판매가 | ? |\n| 판매가 순인상액 | ₩200 | 판매가 순인하액 | ₩100 |\n| 순매출액 | ₩900 |  |  |
actuary_41_acc_10	회계기준에 제시된 재고자산에 대한 설명으로 옳은 것은?
