tax_2026_민법_41	41. 민법의 법원(法源)에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_42	42. 신의성실의 원칙에 관한 설명으로 옳은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 채권자가 유효하게 성립한 계약에 따른 급부의 이행을 청구하는 경우, 법원이 신의칙을 근거로 급부의 일부를 감축하는 것은 원칙적으로 허용되지 않는다.\nㄴ. 취득시효완성 사실을 모르고 당해 토지에 관하여 어떠한 권리주장도 하지 않기로 한 경우, 그 후 이에 반하여 시효주장을 하는 것은 특별한 사정이 없는 한 신의칙에 반한다.\nㄷ. 통상의 임대차관계에서 임대인은 특별한 사정이 없는 한 임차인의 안전을 배려하여 주어야 할 신의칙상 보호의무를 부담한다.
tax_2026_민법_43	43. 자연인의 능력에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_44	44. 미성년자 甲은 자신의 노트북을 乙에게 매도하는 계약을 체결하였고, 甲은 미성년자임을 이유로 계약을 취소하려고 한다. 이에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_45	45. 성년후견에 관한 설명으로 옳지 않은 것은?
tax_2026_민법_46	46. 부재와 실종에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_47	47. 甲은 생전처분으로 민법상 재단법인 A의 설립을 위해 X건물을 기본재산으로 출연하였고, 그 출연행위에 터잡아 A가 설립되고 그 설립등기를 마쳤지만, 아직 A명의로 X건물에 대한 소유권이전등기는 마치지 않았다. 이에 관한 설명으로 옳지 않은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 甲은 착오에 의한 의사표시의 요건을 갖추더라도 이를 이유로 기본재산인 X건물의 출연행위를 취소할 수 없다.\nㄴ. 甲과 A의 관계에서 X건물의 소유권은 A의 설립등기와 관계없이 甲이 출연의 의사표시를 한 때에 A에게 귀속된다.\nㄷ. 만약, 甲이 선의의 乙에게 X건물을 매도하고 그 소유권이전등기를 마쳐주더라도, A는 X건물의 소유권을 취득하였음을 이유로 乙에게 대항할 수 있다.
tax_2026_민법_48	48. 甲을 포함한 7인이 서울에 주소가 있는 甲을 대표이사로 하여 부산에 주된 사무소를 두는 민법상 사단법인 A를 설립하고자 한다. 이에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_49	49. 비법인사단에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_50	50. 민법상 사단법인의 기관에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_51	51. 민법상 사단법인 甲과 그 대표이사 乙에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_52	52. 물건에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_53	53. 주물과 종물에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_54	54. 법률행위에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_55	55. 법률행위의 해석에 관한 설명으로 옳은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 유언의 경우에는 우선적으로 자연적 해석이 이루어져야 한다.\nㄴ. 사실인 관습은 그 분야의 제정법이 강행규정인 경우에도 법률행위 해석의 기준이 되어야 한다.\nㄷ. 계약당사자 쌍방이 모두 동일한 물건을 계약목적물로 삼았으나 계약서에는 착오로 다른 물건을 목적물로 기재한 경우, 계약은 그 다른 물건에 관하여 성립한다.
tax_2026_민법_56	56. 강행규정에 위반하여 무효인 법률행위가 아닌 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_57	57. 반사회질서의 법률행위에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_58	58. 불공정한 법률행위에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_59	59. 진의 아닌 의사표시에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_60	60. 통정허위표시에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_61	61. 의사표시의 착오에 관한 설명으로 옳지 않은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 근저당권 설정계약에서 채무자의 동일성에 관한 착오는 특별한 사정이 없는 한 중요부분의 착오에 해당한다.\nㄴ. 소취하합의의 의사표시는 민법 제109조에 따라 법률행위의 중요부분에 착오가 있더라도 이를 취소할 수 없다.\nㄷ. 의사표시의 착오가 표의자의 중대한 과실로 이루어졌으나 상대방이 표의자의 착오를 알고 이를 이용한 경우에는 표의자는 그 의사표시를 취소할 수 있다.
tax_2026_민법_62	62. 사기·강박에 의한 의사표시에 관한 설명으로 옳지 않은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 의사표시가 강박에 의한 것이어서 당연무효라는 주장 속에는 강박에 의한 의사표시이므로 취소한다는 주장이 당연히 포함되어 있다.\nㄴ. 제3자의 사기에 의한 의사표시에서 상대방이 사용자책임을 져야 할 관계에 있는 피용자는 민법 제110조 제2항에서 정한 제3자에 포함될 수 있다.\nㄷ. 사기에 의한 의사표시의 취소의 효과로 생기는 부당이득반환청구권과 불법행위로 인한 손해배상청구권이 경합하는 경우, 채권자는 양 청구권을 선택적으로 행사할 수 있다.
tax_2026_민법_63	63. 의사표시의 효력발생에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_64	64. 민법상 임의대리에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_65	65. 복대리에 관한 설명으로 옳지 않은 것은?
tax_2026_민법_66	66. 임의대리권의 범위에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_67	67. 민법 제126조의 권한을 넘은 표현대리에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
