exam	year	number	answer	subject
세무사	2018	31	4	재정학
세무사	2018	8	2	회계학개론
세무사	2018	26	3	회계학개론
세무사	2018	32	1	회계학개론
세무사	2018	33	4	회계학개론
세무사	2018	36	3	회계학개론
세무사	2019	6	3	재정학
세무사	2019	7	5	회계학개론
세무사	2019	20	3	회계학개론
세무사	2019	40	3	회계학개론
세무사	2020	5	1	회계학개론
세무사	2020	9	4	회계학개론
세무사	2020	11	5	회계학개론
세무사	2020	21	4	회계학개론
세무사	2020	25	5	회계학개론
세무사	2020	28	1	회계학개론
세무사	2020	32	2	회계학개론
세무사	2020	36	1	회계학개론
세무사	2020	37	1	회계학개론
세무사	2020	39	4	회계학개론
세무사	2021	5	3	재정학
세무사	2021	21	2	재정학
세무사	2021	22	5	재정학
세무사	2021	23	1	재정학
세무사	2021	37	5	재정학
세무사	2021	3	3	회계학개론
세무사	2021	11	1	회계학개론
세무사	2021	12	2	회계학개론
세무사	2021	15	1	회계학개론
세무사	2021	23	3	회계학개론
세무사	2021	25	2	회계학개론
세무사	2021	28	4	회계학개론
세무사	2021	30	3	회계학개론
세무사	2021	33	1	회계학개론
세무사	2021	37	2	회계학개론
세무사	2021	39	5	회계학개론
세무사	2021	55	4	민법
세무사	2021	64	3	민법
세무사	2021	80	4	민법
