exam	year	number	answer	subject
보험계리사	2026	1	2	경제학
보험계리사	2026	2	3	경제학
보험계리사	2026	3	2	경제학
보험계리사	2026	4	4	경제학
보험계리사	2026	5	3	경제학
보험계리사	2026	6	4	경제학
보험계리사	2026	7	1	경제학
보험계리사	2026	8	4	경제학
보험계리사	2026	9	3	경제학
보험계리사	2026	10	4	경제학
보험계리사	2026	11	1	경제학
보험계리사	2026	12	1	경제학
보험계리사	2026	13	2	경제학
보험계리사	2026	14	3	경제학
보험계리사	2026	15	2	경제학
보험계리사	2026	16	3	경제학
보험계리사	2026	17	3	경제학
보험계리사	2026	18	2	경제학
보험계리사	2026	19	3	경제학
보험계리사	2026	20	4	경제학
보험계리사	2026	21	2	경제학
보험계리사	2026	22	1	경제학
보험계리사	2026	23	2	경제학
보험계리사	2026	24	4	경제학
보험계리사	2026	25	2	경제학
보험계리사	2026	26	3	경제학
보험계리사	2026	27	4	경제학
보험계리사	2026	28	4	경제학
보험계리사	2026	29	3	경제학
보험계리사	2026	30	4	경제학
보험계리사	2026	31	1	경제학
보험계리사	2026	32	3	경제학
보험계리사	2026	33	1	경제학
보험계리사	2026	34	1	경제학
보험계리사	2026	35	2	경제학
보험계리사	2026	36	1	경제학
보험계리사	2026	37	3	경제학
보험계리사	2026	38	2	경제학
보험계리사	2026	39	2	경제학
보험계리사	2026	40	4	경제학
보험계리사	2026	1	3	회계학
보험계리사	2026	2	1	회계학
보험계리사	2026	3	3	회계학
보험계리사	2026	4	4	회계학
보험계리사	2026	5	2	회계학
보험계리사	2026	6	2	회계학
보험계리사	2026	7	2	회계학
보험계리사	2026	8	4	회계학
보험계리사	2026	9	3	회계학
보험계리사	2026	10	2	회계학
보험계리사	2026	11	1	회계학
보험계리사	2026	12	1	회계학
보험계리사	2026	13	4	회계학
보험계리사	2026	14	1	회계학
보험계리사	2026	15	3	회계학
보험계리사	2026	16	2	회계학
보험계리사	2026	17	3	회계학
보험계리사	2026	18	1	회계학
보험계리사	2026	19	1	회계학
보험계리사	2026	20	2	회계학
보험계리사	2026	21	4	회계학
보험계리사	2026	22	3	회계학
보험계리사	2026	23	2	회계학
보험계리사	2026	24	2	회계학
보험계리사	2026	25	4	회계학
보험계리사	2026	26	2	회계학
보험계리사	2026	27	2	회계학
보험계리사	2026	28	1	회계학
보험계리사	2026	29	3	회계학
보험계리사	2026	30	2	회계학
보험계리사	2026	31	4	회계학
보험계리사	2026	32	4	회계학
보험계리사	2026	33	2	회계학
보험계리사	2026	34	4	회계학
보험계리사	2026	35	1	회계학
보험계리사	2026	36	2	회계학
보험계리사	2026	37	3	회계학
보험계리사	2026	38	4	회계학
보험계리사	2026	39	3	회계학
보험계리사	2026	40	3	회계학
