exam	year	number	answer	subject
감정평가사	2026	7	4	민법
감정평가사	2026	8	5	민법
감정평가사	2026	9	2	민법
감정평가사	2026	10	1	민법
감정평가사	2026	14	3	민법
감정평가사	2026	15	1	민법
감정평가사	2026	16	3	민법
감정평가사	2026	38	5	민법
감정평가사	2026	39	3	민법
감정평가사	2026	40	4	민법
감정평가사	2026	1	5	감정평가관계법규
감정평가사	2026	2	2	감정평가관계법규
감정평가사	2026	3	3	감정평가관계법규
감정평가사	2026	4	3	감정평가관계법규
감정평가사	2026	5	1	감정평가관계법규
감정평가사	2026	6	2	감정평가관계법규
감정평가사	2026	7	4	감정평가관계법규
감정평가사	2026	118	4	부동산학원론
감정평가사	2026	119	2	부동산학원론
감정평가사	2026	120	5	부동산학원론
감정평가사	2026	53	4	회계학
감정평가사	2026	54	4	회계학
감정평가사	2026	58	4	회계학
감정평가사	2026	59	2	회계학
감정평가사	2026	65	2	회계학
감정평가사	2026	66	4	회계학
감정평가사	2026	67	4	회계학
감정평가사	2026	68	1	회계학
감정평가사	2026	69	2	회계학
감정평가사	2026	70	1	회계학
