actuary_46_acc_21	㈜한국은 20x1년 1월 1일에 액면금액 ₩1,000,000의 사채를 발행하였다. 사채의 만기일은 20x3년 12월 31일이며, 이자지급일은 매년 12월 31일이다. 사채의 표시이자율은 10%이며, 유효이자율은 5%이다. 20x1년 포괄손익계산서에 계상될 사채의 이자비용은? 단, 계산금액은 소수점 첫째자리에서 반올림한다.\n\n| 할인율 | 단일금액 ₩1의 현재가치 1기간 | 2기간 | 3기간 | 정상연금 ₩1의 현재가치 1기간 | 2기간 | 3기간 |\n|---|---|---|---|---|---|---|\n| 5% | 0.9524 | 0.9070 | 0.8638 | 0.9524 | 1.8594 | 2.7232 |\n| 10% | 0.9091 | 0.8265 | 0.7513 | 0.9091 | 1.7356 | 2.4869 |	₩43,194 ||| ₩50,000 ||| ₩56,806 ||| ₩113,612
actuary_46_acc_22	㈜한국은 20x1년 1월 1일 액면금액 ₩1,000,000의 사채를 발행하였다. 사채의 표시이자율은 10%, 이자는 매년말 후급조건이며, 사채발행일의 시장이자율은 12%이다. ㈜한국은 20x3년 1월 1일 ₩1,000,000을 지급하고 사채를 전액 상환하였다. ㈜한국이 20x3년 1월 1일에 인식할 사채상환손익은? 단, 계산금액은 소수점 첫째자리에서 반올림한다.\n\n| 할인율 | 단일금액 ₩1의 현재가치 1기간 | 2기간 | 3기간 | 정상연금 ₩1의 현재가치 1기간 | 2기간 | 3기간 |\n|---|---|---|---|---|---|---|\n| 10% | 0.90909 | 0.82645 | 0.75131 | 0.90909 | 1.73554 | 2.48685 |\n| 12% | 0.89286 | 0.79719 | 0.71178 | 0.89286 | 1.69005 | 2.40183 |	₩90,718 상환이익 ||| ₩71,432 상환이익 ||| ₩43,372 상환손실 ||| ₩17,857 상환손실
actuary_46_acc_23	다음은 20x1년에 발생한 사건으로 금액은 모두 신뢰성 있게 측정되었다. ㈜한국이 20x1년 말 재무상태표에 계상할 충당부채 금액은?\n\n- 판매 제품의 문제로 기업에 손해배상을 청구하는 절차가 시작되었으며, 법률전문가는 기업에 책임이 있다고 밝혀질 가능성이 높다고 조언하였다. 배상 비용으로 ₩200,000이 예상된다.\n- 신축한 폐기물 처리장의 내용연수가 종료되면 이를 철거하고 구축물이 있던 토지를 원상 복구해야 한다. 복구비용은 ₩300,000으로 추정되며 현재가치 금액은 ₩250,000이다.\n- 해외사업부를 폐쇄하는 구조조정 계획이 이사회에서 수립되었으며 이를 수행하는데 ₩150,000의 비용이 발생할 것으로 추정하였다. 이러한 의사결정의 영향을 받는 대상자들에게 그 결정을 알리지 않았고 실행을 위한 절차도 착수하지 않았다.	₩350,000 ||| ₩450,000 ||| ₩500,000 ||| ₩650,000
actuary_46_acc_24	㈜한국의 확정급여제도와 관련된 자료는 다음과 같다. 확정급여채무를 계산할 때 적용되는 할인율은 연 10%이며, 퇴직금의 지급과 사외적립자산의 기여는 모두 연말에 이루어진다. ㈜한국의 확정급여제도 적용이 20x1년 포괄손익계산서의 기타포괄손익에 미치는 영향은?\n\n- 기초 사외적립자산 공정가치: ₩36,000\n- 기초 확정급여채무 현재가치: ₩45,000\n- 사외적립자산 기여액: ₩15,000\n- 퇴직급여지급액: ₩9,000\n- 당기근무원가: ₩12,000\n- 기말 순확정급여부채: ₩12,600	₩5,700 감소 ||| ₩6,900 감소 ||| ₩12,900 감소 ||| ₩18,600 감소
actuary_46_acc_25	㈜한국은 A회사 주식을 취득하고, 이를 당기손익-공정가치측정(FVPL)금융자산으로 분류하였다. A회사 주식 거래와 관련된 정보가 다음과 같을 때, 옳은 설명은?\n\n| 구분 | 20x1년 기중 | 20x1년 기말 | 20x2년 기말 | 20x3년 기말 |\n|---|---|---|---|---|\n| 회계처리 | 취득 | 후속평가 | 후속평가 | 처분 |\n| 공정가치 | ₩100,000 | ₩120,000 | ₩95,000 | ₩97,000 |\n| 거래원가 | ₩5,000 | - | - | ₩2,000 |	20x1년 기중 당기손익-공정가치측정금융자산의 취득원가는 ₩105,000이다. ||| 20x1년 기말 당기손익-공정가치측정금융자산의 평가이익은 ₩20,000이다. ||| 20x2년 기말 당기손익-공정가치측정금융자산의 평가손실은 ₩10,000이다. ||| 20x3년 처분시 당기손실은 ₩2,000이다.
actuary_46_acc_26	㈜한국은 20x1년 1월 1일에 발행된 다른 회사 사채를 동 일자에 공정가치로 취득하고 기타포괄손익-공정가치측정(FVOCI)금융자산으로 분류하였다. 취득시에 신용이 손상되어 있지 않았으며, 취득 사채와 관련된 정보는 다음과 같다. ㈜한국의 동 금융자산이 20x1년 포괄손익계산서의 기타포괄손익에 미치는 영향은? 단, 계산금액은 소수점 첫째자리에서 반올림한다.\n\n- 사채의 액면금액은 ₩1,000,000이며, 매년 12월 31일에 이자를 지급한다.\n- 사채 만기일은 20x3년 12월 31일이며, 만기일에 액면금액을 일시 상환한다.\n- 사채 표시이자율은 8%이며, 사채 발행시점의 유효이자율은 12%이다.\n- 20x1년 말 현재 사채의 공정가치는 ₩850,000이다.\n\n| 구분 | 8% 일시금현가 | 8% 연금현가 | 12% 일시금현가 | 12% 연금현가 |\n|---|---|---|---|---|\n| 1기간 | 0.9259 | 0.9259 | 0.8929 | 0.8929 |\n| 2기간 | 0.8574 | 1.7833 | 0.7972 | 1.6901 |\n| 3기간 | 0.7938 | 2.5771 | 0.7118 | 2.4018 |	₩26,156 증가 ||| ₩28,461 증가 ||| ₩82,417 감소 ||| ₩133,844 감소
actuary_46_acc_27	㈜한국은 20x1년 1월 1일 전환사채를 액면금액으로 발행하였다. 전환사채와 관련된 정보가 다음과 같을 때, 전환사채 발행 시 계상되는 상환할증금은? 단, 계산금액은 소수점 첫째자리에서 반올림한다.\n\n- 전환사채의 액면금액은 ₩1,000,000이며, 만기는 20x3년 12월 31일이다.\n- 액면이자율은 연 6%이며, 이자지급일은 매년 12월 31일이다.\n- 전환권이 행사되지 않으면 만기에 일정금액의 상환할증금이 추가로 지급된다.\n- 만기보장수익률은 연 8%이다.	₩64,928 ||| ₩66,200 ||| ₩129,856 ||| ₩132,400
actuary_46_acc_28	㈜한국의 20x1년 재무자료 일부인 다음 자료를 이용할 때, 재고자산회전기간은? 단, 매출총이익률은 매출액 대비 60%이며, 1년은 360일로 간주한다.\n\n- 기초재고자산: ₩300,000\n- 당기매입재고자산: ₩800,000\n- 매출액: ₩1,750,000	90일 ||| 135일 ||| 180일 ||| 215일
actuary_46_acc_29	다음 중 영업활동 현금흐름으로 볼 수 없는 것은?	주식 발행에 따른 현금유입 ||| 재화의 판매와 용역 제공에 따른 현금유입 ||| 로열티, 수수료, 중개료 및 기타수익에 따른 현금유입 ||| 단기매매목적으로 보유하는 계약에서 발생하는 현금유출
actuary_46_acc_30	회계기준에서는 지수나 요율의 변동에 따른 변동리스료는 리스부채의 측정에 포함하도록 규정하고 있으며, 변동리스료는 처음에는 리스개시일의 지수나 요율(이율)을 사용하여 측정하도록 하고 있다. 회계기준에서 제시하는 변동리스료에 해당하지 않는 것은?	벤치마크 이자율에 연동되는 지급액 ||| 지급액이 변동리스료의 구조를 가지고 있으나, 실제 변동성이 없는 지급액 ||| 소비자물가지수에 연동되는 지급액 ||| 시장 대여요율의 변동을 반영하기 위하여 변동되는 지급액
actuary_46_acc_31	다음은 ㈜한국의 20x1년 원가자료의 일부이다. 주어진 자료를 이용할 때, ㈜한국의 당기제품제조원가는?\n\n| 구분 | 1월 1일 | 12월 31일 |\n|---|---|---|\n| 직접원재료 | ₩700,000 | ? |\n| 재공품 | ₩1,000,000 | ₩1,500,000 |\n\n- 당기 직접원재료 매입액은 ₩1,200,000이며, 당기 직접노무원가는 ₩1,500,000이다.\n- ㈜한국의 20x1년 기본원가는 ₩2,800,000, 제조간접원가는 가공원가의 50%이다.	₩2,700,000 ||| ₩3,300,000 ||| ₩3,800,000 ||| ₩4,300,000
