tax_2026_재정학_9	9. 부가가치세에 관한 설명으로 옳은 것은?
tax_2026_재정학_10	10. 국내 및 해외의 조세제도 개혁 동향에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_11	11. 조세지출이 정당성을 부여받기 위해 필요한 검증 과정으로 옳은 것을 모두 고른 것은?\nㄱ. 조세지출을 통한 민간부문의 특정 행위 촉진이 바람직해야 한다.\nㄴ. 조세지출은 항상 효율성을 우선적으로 충족해야 한다.\nㄷ. 민간부문을 대신하여 정부가 조세지출로 관여하는 이유가 명확해야 한다.\nㄹ. 민간부문의 특정 행위 촉진 방법으로 조세지출 사용이 최선인가를 검토해야 한다.\nㅁ. 조세지출 규모는 매년 일정 비율로 늘어나야 한다.
tax_2026_재정학_12	12. 근로소득세 부과가 노동공급에 미치는 영향에 관한 설명으로 옳지 않은 것은? (단, 근로소득만 존재한다고 가정한다.)
tax_2026_재정학_13	13. 시점간 소비선택 모형에서, 이자소득세 부과가 소비와 저축에 미치는 영향으로 옳지 않은 것은? (단, 미래소득은 영(0)이며 현재소비와 미래소비는 모두 정상재이다.)
tax_2026_재정학_14	14. 신고전파 투자이론에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_15	15. 경기과열에 대한 대응으로 투자를 억제하는 조치에 해당하는 것은?
tax_2026_재정학_16	16. 모딜리아니-밀러(F. Modigliani and M. Miller)의 배당무의미성이론에 관한 설명으로 옳은 것은?
tax_2026_재정학_17	17. 정부지출 증대를 위한 국채 발행이 경제에 미치는 영향에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_18	18. 공공요금이론에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_19	19. 우리나라 지방교부세의 종류로 옳지 않은 것은?
tax_2026_재정학_20	20. 정부에 대한 유기체적 견해(organic view)에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_21	21. 후생경제학의 기본정리에 관한 설명으로 옳은 것은? (단, 기본정리 성립을 위한 선호와 생산기술에 대한 전제조건은 만족한다고 하자.)
tax_2026_재정학_22	22. 두 재화 $x$와 $y$를 소비하는 두 소비자로 구성된 순수교환경제에서, 소비자 1과 2의 효용함수는 각각 $u_1(x_1, y_1) = x_1 y_1$ 과 $u_2(x_2, y_2) = x_2 y_2^2$ 이며, 초기부존은 각각 $(3,1)$ 과 $(0,3)$이다. 다음 배분 $((x_1,y_1),(x_2,y_2))$ 중 파레토 효율적 배분은?
tax_2026_재정학_23	23. 어느 독점기업이 직면하는 수요가 $P = 120 - \frac{1}{2}Q$이고, 한계비용이 $MC = Q$라 하자. 이 독점기업의 생산 활동으로 인해 발생하는 사회후생손실(social welfare loss)에 관한 설명으로 옳은 것을 모두 고른 것은? (단, $Q$는 생산량이다.)\nㄱ. 이 독점기업의 영업을 폐지하면, 영업을 계속하는 경우보다 사회후생이 증가한다.\nㄴ. 정부가 $P = 100$ 수준에서 최고가격제를 실시하면, 사회후생손실은 감소한다.\nㄷ. 정부가 $P = 80$ 수준에서 최고가격제를 실시하면, 사회후생손실은 0으로 감소한다.\nㄹ. 정부가 $P = 80$ 수준에서 최고가격제를 실시하면, 사회후생손실은 300만큼 감소한다.
tax_2026_재정학_24	24. 자연독점에 관한 설명으로 옳은 것은?
tax_2026_재정학_25	25. 순수공공재에 관한 설명으로 옳은 것을 모두 고른 것은?\nㄱ. 혼잡한 무료 국도는 순수공공재이다.\nㄴ. 대가를 지불하지 않아도 소비할 수 있는 재화이다.\nㄷ. 중앙정부에서 무료로 제공하는 볼펜은 순수공공재이다.\nㄹ. 지방정부에서 여름에 무료로 제공하는 얼음 생수는 순수공공재이다.
tax_2026_재정학_26	26. 어느 경제에서 공공재에 대한 개별수요가 서로 다른 두 그룹이 있으며 그룹 1은 6명, 그룹 2는 4명으로 구성되어 있다. 그룹 1에 속한 각 소비자의 공공재에 대한 개별수요는 $P_1 = 30 - \frac{1}{6}Q$ 이며, 그룹 2에 속한 각 소비자의 공공재에 대한 개별수요는 $P_2 = 60 - \frac{1}{2}Q$ 이다. 공공재 생산의 평균비용이 모든 생산량 $Q$에서 $AC = 240$으로 일정하다고 할 때, 효율적 공공재 공급을 위한 각 그룹별 개별소비자의 부담은 얼마인가?
