actuary_41_econ_1	상품수요가 $Q_d = 5{,}000 - 2P$이다. $P = 2{,}000$에서 수요의 가격탄력성과 소비자의 지출액은?	0.25; 2,000 ||| 0.25; 2,000,000 ||| 1; 1,000,000 ||| 4; 2,000,000
actuary_41_econ_2	소비자 갑의 효용함수는 $U = \min(X, 2Y)$, $X$재 가격은 1, $Y$재 가격은 2, 갑의 소득은 10이다. 효용을 극대화하는 $X$재의 수요량은?	2 ||| 2.5 ||| 4 ||| 5
actuary_41_econ_3	노동공급의 여가-소득 선호모형에서 근로시간당 임금에 대한 세율 인하의 효과에 관한 설명으로 옳지 않은 것은?\n\n가. 대체효과는 노동공급을 증가시킨다.\n나. 여가가 정상재이고 절댓값 기준으로 소득효과가 대체효과보다 큰 경우 노동공급이 감소된다.\n다. 여가가 열등재일 경우 소득효과는 노동공급을 감소시킨다.	가 ||| 가, 나 ||| 가, 다 ||| 나, 다
actuary_41_econ_4	A재화에 종가세를 부과할 경우 다음의 조세부담과 관련된 내용 중 옳은 것을 모두 고르면?\n\n가. 수요곡선이 공급곡선보다 더 비탄력적일 경우 소비자가 생산자보다 더 많이 부담\n나. 공급곡선이 수평인 경우 생산자가 모두 부담\n다. 수요곡선이 수직인 경우 소비자가 모두 부담	가 ||| 나 ||| 가, 다 ||| 나, 다
actuary_41_econ_5	소규모 개방경제에서 관세부과와 수입할당(import quota) 정책이 동일한 수입량을 발생시킨다고 할 때, 이에 대한 설명으로 옳은 것은? (단, 국내 공급곡선은 우상향, 국내 수요곡선은 우하향)	수입할당으로 인한 경제적 순손실(deadweight loss)은 관세부과로 인한 경제적 순손실보다 작다. ||| 관세부과의 경우에 비해 수입할당은 수입재 국내가격을 덜 인상시킨다. ||| 관세부과로 인한 소비자잉여 감소는 수입할당으로 인한 소비자잉여 감소보다 더 크다. ||| 관세부과로 인한 정부의 관세수입과 수입할당으로 인한 수입업자의 이익은 동일하다.
actuary_41_econ_6	노동수요는 $L_d = 19{,}000 - w$, 노동공급은 $L_s = -4{,}000 + w$이고 정부가 근로시간당 1,000의 세금을 부과할 때, 근로자가 받을 세후 임금과 정부의 조세수입을 각각 순서대로 올바로 나열한 것은? (단, $w$는 시간당 임금)	11,000; 7,000,000 ||| 11,000; 7,500,000 ||| 11,500; 7,000,000 ||| 12,000; 7,500,000
actuary_41_econ_7	최저임금에 관한 설명으로 옳지 않은 것은? (단, 노동공급곡선은 우상향, 노동수요곡선은 우하향)	최저임금은 시장균형임금 이상에서 설정되어야 실효성이 있다. ||| 최저임금은 생산요소간 상대가격을 왜곡할 수 있다. ||| 노동수요의 임금탄력성이 작을수록 최저임금으로 인한 실업발생 효과가 커진다. ||| 노동공급의 임금탄력성이 작을수록 최저임금으로 인한 실업발생 효과가 작아진다.
actuary_41_econ_8	이윤극대화를 추구하는 K기업의 총수입($TR$)은 $TR = 5Q$이고 총비용($TC$)은 $TC = 10 + 3Q + 0.05Q^2$일 때 옳지 않은 것은? (단, $Q$는 생산량)	판매가격은 5 ||| 이윤극대화 생산량은 20 ||| 최대이윤은 15 ||| 고정비용은 10
actuary_41_econ_9	독점기업에 관한 설명으로 옳은 것은? (단, 수요곡선은 우하향하는 직선이고, 한계비용곡선은 우상향하는 직선)	한계수입과 한계비용이 일치하도록 생산하면 항상 양(+)의 이윤을 얻는다. ||| 한계수입은 가격보다 높다. ||| 평균비용이 가격보다 낮으면 양(+)의 이윤을 얻는다. ||| 이윤극대화 공급량에서는 수요의 가격탄력성이 1보다 작다.
actuary_41_econ_10	이윤극대화를 추구하는 독점기업의 수요함수는 $Q = 5 - 0.5P$이고 총비용함수는 $TC = 30 - 2Q + Q^2$이다. 이 독점기업의 이윤에 20%의 세금을 부과한다면? (단, $Q$는 생산량, $P$는 가격)	가격이 20%보다 더 많이 인상될 것이다. ||| 가격이 20% 인상될 것이다. ||| 생산량이 20%보다 더 적게 감소할 것이다. ||| 생산량은 변화하지 않을 것이다.
actuary_41_econ_11	이윤극대화를 하는 A기업에 조세를 부과할 때 이에 관한 설명으로 옳은 것을 모두 고르면? (단, A기업이 당면한 수요곡선은 우하향하는 직선이며, 한계비용곡선은 우상향하는 직선)\n\n가. 정액세(lump-sum tax)를 부과하면 한계비용이 상승하고 생산량이 감소\n나. 정액세를 부과하면 평균가변비용이 상승하고 생산량이 감소\n다. 물품세(excise tax)를 부과하면 한계비용이 상승하여 생산량이 감소하고 가격이 상승\n라. 물품세를 부과하면 평균비용곡선이 상향 이동	가, 나 ||| 가, 다 ||| 나, 다 ||| 다, 라
actuary_41_econ_12	소득분배와 관련된 설명으로 옳지 않은 것은?	소득분배가 완전불평등하면 지니(Gini)계수는 1이다. ||| 소득분배가 평등할수록 로렌츠곡선은 대각선에 가까워진다. ||| 두 국가의 로렌츠곡선은 교차할 수 있다. ||| 소득분배가 평등할수록 10분위분배율은 작아진다.
actuary_41_econ_13	근로장려세제(EITC: Earned Income Tax Credit)에 관한 설명으로 옳지 않은 것은?	EITC는 최저임금제와는 달리 고용주들에게 저임금 근로자를 해고할 유인을 제공하지 않는다. ||| EITC는 저소득 근로자에게 추가적 소득을 제공한다. ||| 실업자도 EITC의 수혜대상이 된다. ||| EITC를 확대 실시하면 재정부담이 커진다.
actuary_41_econ_14	K시네마가 극장 입장료를 5에서 9로 인상하였더니 매출액이 1,500에서 1,800으로 증가하였다. 중간점공식(호탄력도)을 이용하여 수요의 가격탄력성을 구하면? (단, 소수점 셋째자리에서 반올림)	0.32 ||| 0.42 ||| 0.70 ||| 1.13
actuary_41_econ_15	재화 1단위당 세금을 4만큼 부과했더니, 균형수량이 2,000에서 1,700으로 감소하였다. 이 경우 조세부과로 인한 경제적 순손실은? (단, 수요곡선은 우하향하는 직선이고, 공급곡선은 우상향하는 직선)	200 ||| 400 ||| 600 ||| 1,200
actuary_41_econ_16	다음 중 한계비용곡선이 지나는 점을 모두 고르면? (단, 평균총비용곡선은 U자형)\n\n가. 총비용이 최소가 되는 점\n나. 평균고정비용이 최소가 되는 점\n다. 평균가변비용이 최소가 되는 점\n라. 평균총비용이 최소가 되는 점	가, 나 ||| 나, 다 ||| 다, 라 ||| 나, 다, 라
