actuary_49_econ_11	11. 아래 표는 공부 시간에 따른 갑의 각 과목 시험 성적이다. 총점 극대화를 위해 12시간을 3과목 공부에 적절히 배분했는데, 불가피하게 3시간을 다른 일에 사용해야 한다. 높은 점수를 희망하는 갑은 어느 과목의 공부를 몇 시간씩 줄여야 하는가? [표: 경제학/경영학/법학 — 5시간 96/86/84, 4시간 95/85/83, 3시간 85/80/80, 2시간 73/70/75, 1시간 60/58/65, 0시간 45/46/55]	① 경영학 1시간, 법학 2시간 ||| ② 경제학 1시간, 경영학 2시간 ||| ③ 경제학 1시간, 법학 2시간 ||| ④ 경제학 1시간, 경영학 1시간, 법학 1시간
actuary_49_econ_12	12. 게임(game)에 두 사람이 각각 $A, B$의 두 가지 전략(strategies)만 보유하고 있다. 두 사람이 모두 전략 $A$를 선택하면, 보수(payoff)는 각각 100이며, 두 사람이 모두 전략 $B$를 선택하면, 보수는 각각 0이다. 한 사람이 전략 $A$, 다른 사람이 전략 $B$를 선택하면, 전략 $A$를 선택한 사람의 보수 $S$, 전략 $B$를 선택한 사람의 보수 $T$이다. 전략 $B$를 선택하는 것이 두 사람 모두에게 지배 전략(dominant strategy)이 되는 조건은?	① $S < 0, T > 100$ ||| ② $S < T, T > 100$ ||| ③ $S + T > 100$ ||| ④ $T > 2S$
actuary_49_econ_13	13. 갑의 X재화에 대한 수요 함수가 $Q_d = 750 - 5P + 0.5I$ 이다. $P = 50$이고, $I = 1{,}000$이다. X재화의 가격이 20% 하락하였지만, X재화의 수요량($Q_d$)이 변하지 않았다면 갑의 소득변화로 옳은 것은? (단, $P$는 가격, $I$는 소득이다.)	① 소득은 5% 감소한다. ||| ② 소득은 10% 감소한다. ||| ③ 소득은 5% 증가한다. ||| ④ 소득은 10% 증가한다
actuary_49_econ_14	14. 재화의 시장수요곡선은 $Q_d = 20 - 3P$, 시장공급곡선은 $Q_s = -4 + 3P$ 이다. 시장 거래량을 3으로 제한할 때 자중손실(deadweight loss)은? (단, $Q_d$는 수요량, $Q_s$는 공급량, $P$는 가격이다)	① 10 ||| ② 15 ||| ③ 20 ||| ④ 25
actuary_49_econ_15	15. 여가 $L$과 재화 $X$를 소비하는 갑의 효용함수는 $U = L^{\frac{2}{3}} X^{\frac{1}{3}}$ 이며, 갑에게 주어진 총시간은 24시간이다. 갑은 노동을 통해서만 소득을 얻고, 소득을 모두 재화 $X$를 소비하는데 사용한다. 시간 당 임금은 20,000원, 재화 $X$의 가격은 2,000원이다. 갑이 예산제약하에 효용을 극대화할 때, 여가 $L$과 재화 $X$는?	① $L = 8, X = 40$ ||| ② $L = 16, X = 40$ ||| ③ $L = 8, X = 80$ ||| ④ $L = 16, X = 80$
actuary_49_econ_16	__FIGURE__
actuary_49_econ_17	17. 비용을 최소화하는 기업 A의 생산함수는 $Q = L + 2K$ 이다. 노동시장과 자본시장은 모두 완전경쟁시장이고, 임금률이 5, 자본의 임대가격이 7일 때, 기업 A의 평균비용은? (단, $L$과 $K$는 각각 노동과 자본의 투입량이다.)	① 2.5 ||| ② 3 ||| ③ 3.5 ||| ④ 4
actuary_49_econ_18	18. 완전경쟁시장에서 재화 $X$에 대한 개별 기업의 총비용함수는 $TC = 300 + \frac{1}{8}Q^2$ 이다. 이 시장에서 $X$를 생산하는 10개의 기업은 모두 동일한 비용함수를 갖는다. 시장수요곡선이 $Q_d = 2{,}000 - 10P$ 일 때, 이에 대한 분석으로 옳은 것은? (단, $P, Q, Q_d$는 각각 가격, 생산량, 시장수요량이다.)	① 단기적으로 시장 균형가격은 30이다. ||| ② 시장의 단기공급곡선은 $Q_s = 60P$ 이다. ||| ③ 단기적으로 신규 기업들이 재화 $X$시장에 진입하려는 유인이 없다. ||| ④ 기업들의 진입과 퇴출이 허용되는 장기에서 시장 균형가격은 40보다 낮다.
actuary_49_econ_19	19. 소득이 100인 소비자 갑은 가격이 0.5인 재화 $X$와 가격이 1인 재화 $Y$를 소비한다. 효용 극대화를 추구하는 소비자 갑의 효용함수가 $U(X, Y) = -[(X-50)^2 + (Y-40)^2]$일 때, 이에 대한 설명으로 옳은 것은?	① 갑의 선호는 단조적(monotonic)이다. ||| ② $X$재의 가격이 하락하면, $X$재를 더 구입한다. ||| ③ 소득이 증가해도 갑이 구입하는 재화 묶음은 변하지 않는다. ||| ④ 효용함수의 값이 음(-)이기 때문에 갑은 항상 만족하지 못한다.
actuary_49_econ_20	20. 한 해 동안의 국내총생산($GDP$)에 포함되는 것은?	① 정부로부터 지원받은 출산 장려금 ||| ② 해외에서 사업 중인 보험회사가 현지 직원에게 지급한 급여 ||| ③ 국내 홍수 피해를 복구하는데 들어간 비용 ||| ④ 국내 거주자 간 중고차 거래액
actuary_49_econ_21	21. A국의 명목 $GDP$는 2024년 2,000달러에서 2025년 6,000달러로 증가했다. 2024년 $GDP$ 디플레이터는 100이고, 2024년 대비 2025년 실질 $GDP$ 증가율은 50%다. 이때 2025년 $GDP$ 디플레이터는?	① 100 ||| ② 200 ||| ③ 300 ||| ④ 400
