actuary_45_acc_21	㈜한국은 20x1년 1월 1일 다음과 같은 조건의 사채를 발행하였다. 동 사채는 당기손익-공정가치 측정(FVPL) 금융부채로 분류되지 않으며, ㈜한국의 회계담당자는 동 사채발행과 직접 관련된 거래원가를 발행가액에서 차감하였다. 동 사채발행으로 인한 영향으로 옳은 것은 무엇인가?\n\n- 액면금액 : ₩1,000,000\n- 만 기 일 : 20x5년 12월 31일\n- 표시이자율 : 7%\n- 시장이자율 : 5%\n- 이자지급일 : 매년 12월 31일\n- 사채발행비 : ₩100,000\n\n| 할인율 | 단일금액 ₩1의 5기간 현재가치 | 정상연금 ₩1의 5기간 현재가치 |\n|---|---|---|\n| 5% | 0.7835 | 4.3295 |\n| 7% | 0.7130 | 4.1002 |
actuary_45_acc_22	다음은 20x1년 초 설립한 ㈜한국의 결산수정이 필요한 사항을 나열한 것이다. 다음 거래로 인한 수정후시산표의 영향으로 옳지 않은 것은 무엇인가?\n\n- 20x1년 중 선급임차료로 회계처리한 ₩1,200,000에서 ₩900,000은 20x1년 분 임차료이다.\n- 12월분 공과금 ₩200,000이 누락된 것을 발견하였다. 공과금 납부일은 익월 15일이다.\n- 20x1년 중 선수수익으로 회계처리한 ₩500,000에서 40%는 20x1년 수익으로 인식한다.
actuary_45_acc_23	다음 중 금융부채의 제거에 대한 설명으로 옳지 않은 것은?
actuary_45_acc_24	다음 중 경제적효익을 창출할 잠재력을 지닌 권리로 볼 수 없는 것은?
actuary_45_acc_25	다음 중 충당부채로 인식 가능한 것은?
actuary_45_acc_26	다음은 ㈜한국의 20x1년 재무자료의 일부이다. 주어진 자료를 이용하여 ㈜한국의 재고자산회전기간을 계산하면 얼마인가? 단, 1년은 360일로 가정한다.\n\n- 기초재고 : ₩30,000\n- 당기매입재고 : ₩500,000\n- 매출액 : ₩800,000\n- 매출원가율 : 60%
actuary_45_acc_27	㈜한국은 20x1년 초 다음과 같은 조건으로 기계장치를 리스하였다. ㈜한국이 20x1년 초 인식할 리스부채의 최초 측정금액은 얼마인가? 단, 내재이자율은 쉽게 산정할 수 없으며, ㈜한국의 증분차입이자율은 연 5%이다.\n\n- 리스기간 : 20x1년 1월 1일 ~ 20x5년 12월 31일\n- 리스료 : 연간 고정 리스료 ₩1,000,000\n- ㈜한국이 부담한 리스개설직접원가는 ₩100,000이며, 20x1년 초 현금지급함\n- 리스료는 매년 12월 31일 지급하기로 하였음\n- 5%, 5기간 정상연금 ₩1의 현가계수는 4.3295임
actuary_45_acc_28	소매재고법을 사용하는 ㈜한국의 20x1년 재고자산 자료는 다음과 같다.\n\n| 구분 | 원가기준 | 매출가격기준 |\n|---|---|---|\n| 기초재고 | ₩26,000 | ₩42,000 |\n| 당기매입 | 168,000 | 295,000 |\n| 매입환출 | 2,000 | 5,000 |\n| 매출액 |  | 220,000 |\n| 매출환입 | 3,400 | 15,000 |\n| 종업원할인 |  | 5,000 |\n| 순인하액 |  | 12,000 |\n\n원가흐름에 대한 가정으로 가중평균법을 사용한다면 ㈜한국의 20x1년 기말재고자산(원가)은 얼마인가? 단, 계산된 원가율은 소수점 셋째자리에서 반올림 한다.
actuary_45_acc_29	20x1년 말 화재로 인하여 ㈜한국이 보유하고 있던 재고자산이 모두 소실되었다. 다음 자료를 이용하여 ㈜한국의 20x1년 말 재고자산을 추정하면 얼마인가? 단, 총자산회전율은 기초 총자산을 기준으로 계산하며, 화재이외의 원인으로 재고자산감모손실과 재고자산평가손실은 없다고 가정한다.\n\n| 기초 총자산 | ₩120,000 |\n|---|---|\n| 기초 재고자산 | ₩30,000 |\n| 당기 재고자산 매입액 | ₩320,000 |\n| 매출총이익률 | 30% |\n| 총자산회전율(기초 총자산 기준) | 2.5회 |
actuary_45_acc_30	20x1년 말 ㈜한국의 재고자산 평가와 관련된 자료는 다음과 같다. ㈜한국은 단일 품목의 재고자산을 판매하고 있다.\n\n| 구분 | 수량 | 단위당 취득원가 | 단위당 판매가 | 단위당 판매비용 |\n|---|---|---|---|---|\n| 재고자산 | 800개 | ₩500 | ₩600 | ₩50 |\n\n재고자산 중 500개는 단위당 ₩400에 확정판매계약이 체결되어 있다. 확정판매계약에서는 판매비용이 발생하지 않는다. 20x1년 말 ㈜한국의 재고자산 장부금액은 얼마인가?
