cpa_2024_econ_1	여러 제품을 생산하는 기업이 각 제품을 따로 생산할 때보다 함께 생산할 때 생산비용이 절감되는 경우, 이러한 현상을 지칭하는 개념은?
cpa_2024_econ_2	완전경쟁시장에서 거래되는 어느 재화의 전년도 수요함수와 공급함수가 각각 다음과 같았다.\n\n$Q_D = 120 - P$\n$Q_S = P$\n\n생산 여건 악화로 올해 공급량이 모든 가격대에서 전년의 절반으로 감소하였다. 이에 따른 전년 대비 생산자잉여의 감소분은? (단, $Q_D$는 수요량, $Q_S$는 공급량, $P$는 가격이고, 수요는 전년과 같다.)
cpa_2024_econ_3	X재와 Y재만을 구매하는 소비자가 있다. 이 소비자는 소득이 20, X재 가격이 2, Y재 가격이 1일 때 X재 5단위, Y재 10단위를 선택하였다. 이 소비자의 소득이 16으로 감소하고 X재 가격이 1, Y재 가격이 2로 바뀔 때, 다음 중 이 소비자가 구매 가능하면서 현시선호의 약공리를 위배하지 않는 소비조합을 모두 고르면? (단, $x$와 $y$는 각각 소비자의 X재와 Y재 소비량이다.)\n\n가. $(x, y) = (4, 6)$\n나. $(x, y) = (8, 4)$\n다. $(x, y) = (10, 3)$\n라. $(x, y) = (14, 2)$
cpa_2024_econ_4	수요와 공급의 가격탄력성에 관한 설명으로 옳은 것을 모두 고르면? (단, 가격탄력성은 절댓값으로 측정한다.)\n\n가. 수요곡선이 우하향하는 직선일 경우, 수요곡선을 따라 가격이 하락할수록 수요의 가격탄력성은 작아진다.\n나. 수요곡선이 우하향하는 직선일 경우, 기업이 가격을 낮추면 판매량이 증가하게 되어 총수입이 증가한다.\n다. 공급곡선이 우상향하는 직선이고 가격 절편이 양(+)인 경우, 공급곡선을 따라 우상방으로 이동할수록 공급의 가격탄력성은 작아진다.\n라. 수요와 공급의 가격탄력성이 클수록 조세부과로 인한 자중손실(deadweight loss)은 작아진다.
cpa_2024_econ_5	다음은 개별 경기자가 택할 수 있는 전략이 A, B인 게임에서 두 경기자 1과 2의 전략 선택에 따라 결정되는 보수구조를 나타낸다. <게임 1>에서는 두 경기자가 동시에 전략을 선택하고, <게임 2>에서는 경기자 1이 먼저 전략을 선택하면 경기자 2가 경기자 1의 선택을 보고 나서 전략을 선택한다. 이에 대한 다음 설명 중 옳은 것을 모두 고르면? (단, 보수행렬의 괄호 안 첫 번째 숫자는 경기자 1의 보수, 두 번째 숫자는 경기자 2의 보수를 나타낸다.)\n\n|  | 경기자 2: A | 경기자 2: B |\n|---|---|---|\n| 경기자 1: A | (2, 0) | (2, 6) |\n| 경기자 1: B | (4, 5) | (0, 2) |\n\n가. <게임 1>에는 1개의 내쉬균형이 존재한다.\n나. <게임 1>의 내쉬균형에서 두 경기자는 서로 다른 전략을 선택한다.\n다. <게임 2>의 부분게임완전균형에서 경기자 1은 B를 선택한다.
cpa_2024_econ_6	X재와 Y재가 각각 12단위 존재하며 두 구성원 1, 2가 두 재화를 소비하는 $2 \times 2$ 순수교환경제가 있다. 소비자 1의 효용함수는 $U(x_1, y_1) = x_1 y_1$이고, 소비자 2의 효용함수는 $V(x_2, y_2) = \sqrt{x_2 y_2}$이다. 현재 두 소비자가 계약곡선상에서 소비하며 1의 효용이 2의 효용의 2배일 때, $x_1$과 $x_2$를 곱한 값은? (단, $x_i$와 $y_i$는 각각 구성원 $i$의 X재와 Y재 소비량이다.)
cpa_2024_econ_7	어느 독점기업이 직면한 시장의 역수요함수는 $P = 100 - \frac{1}{2}Q$이고, 한계비용함수는 $MC(Q) = Q$이다. 독점기업이 공급하는 재화는 단위당 20의 긍정적 외부효과를 소비자에게 발생시킨다. 정부가 이 기업에 생산량 단위당 일정액을 생산비 보조금으로 지급하여 사회적 최적 생산량을 달성하고자 할 때, 책정해야 할 단위당 보조금은? (단, $P$는 가격이고 $Q$는 수량이다.)
cpa_2024_econ_8	$n$명으로 구성된 어느 마을에서 구성원 $i$의 한계편익($MB_i$)과 공공재 생산의 비용함수($C$)가 각각 다음과 같다.\n\n$MB_i(Q) = \frac{i}{Q},\ i = 1, 2, \cdots, n$\n$C(Q) = 2Q^2$\n\n이 마을의 최적 공공재 생산량이 3일 때 $n$은? (단, $Q$는 공공재 생산량이다.)
cpa_2024_econ_9	동질재를 생산하는 세 개의 기업이 있다고 하자. 각 기업의 비용함수는 $C_i(q_i) = 0$이며, 시장의 역수요함수는 $P = 200 - 5Q$이다. 기업들이 꾸르노(Cournot) 경쟁을 할 때 균형가격은? (단, $Q = \sum_{i=1}^{3} q_i$, $q_i$는 기업 $i$의 생산량, $P$와 $Q$는 각각 시장가격과 시장 전체의 생산량이다.)
cpa_2024_econ_10	A와 B 두 사람만 존재하는 경제에서, 사적재화인 X재만 소비되고 X재의 총 부존량은 100이다. A와 B의 효용함수는 각각 $U_A = 4\sqrt{x_A}$와 $U_B = 2\sqrt{x_B}$이다. 공리주의 사회후생함수와 롤즈(Rawls)의 사회후생함수 각각의 가정하에서 사회후생을 극대화시키는 개인의 소비량은? (단, $x_A$와 $x_B$는 각각 A와 B의 소비량이고, $U_A$와 $U_B$는 각각 A와 B의 후생수준이다.)
cpa_2024_econ_11	노동시장에는 생산성이 높은 구직자(H)와 낮은 구직자(L) 두 유형이 있다. 기업 A는 1년 계약으로 직원을 채용하고 구직자의 생산성에 따라 임금을 다르게 지급하고자 한다. 구직자의 생산성을 알지 못하는 기업 A는 구직자가 받은 교육기간을 이용하여 개별 구직자의 생산성을 파악하고자 한다. 기업 A는 교육기간($E$)을 설정하고 다음과 같은 급여체계를 공고하려고 한다.\n\n○ $E$를 충족한 구직자는 H로 간주하여 총 2,200 지급\n○ $E$를 충족하지 못한 구직자는 L로 간주하여 총 1,800 지급\n\n구직자는 본인부담으로 교육비를 지출해야 하는데, H와 L의 교육비용은 1개월당 각각 100과 200이다. H는 $E$를 충족하고 L은 $E$를 충족하지 않도록 기업 A가 설정해야 하는 $E$의 범위는? (단, 교육은 구직자의 생산성에는 영향을 주지 않으며, 구직자는 교육이득이 양(+)인 경우에만 교육받는다고 가정한다.)
cpa_2024_econ_12	경기자 1과 2는 A와 B 두 가지 전략을 가지고 있다. 다음은 두 경기자가 전략을 동시에 선택하는 게임의 보수행렬을 나타낸다. 경기자 1이 A를 선택할 확률을 $p$, 경기자 2가 A를 선택할 확률을 $q$라고 할 때, 혼합전략 내쉬균형은? (단, 보수행렬의 괄호 안 첫 번째 숫자는 경기자 1의 보수, 두 번째 숫자는 경기자 2의 보수를 나타낸다.)\n\n|  | 경기자 2: A | 경기자 2: B |\n|---|---|---|\n| 경기자 1: A | (2, 0) | (0, 2) |\n| 경기자 1: B | (0, 2) | (2, 0) |
cpa_2024_econ_13	네 가지 생산요소($x_1, x_2, x_3, x_4$)로 구성된 기업 A의 생산함수가 $Q = \min\left[x_1,\ \frac{x_2}{4}\right] + \min\left[\frac{x_3}{2},\ \frac{x_4}{5}\right]$일 때, 비용함수 $C$는? (단, $Q$는 생산량이고, $x_1, x_2, x_3, x_4$의 가격은 각각 $w_1, w_2, w_3, w_4$이다.)
cpa_2024_econ_14	두 재화 X와 Y를 통해 효용을 극대화하는 소비자의 효용함수가 $U(x,y) = \min[2x,\ 3y]$이다. X재와 Y재의 가격은 $P_X$와 $P_Y$이고 소득은 $M$이라고 할 때, 다음 중 옳은 것을 모두 고르면? (단, $P_X > 0, P_Y > 0, M > 0$이고, $x$와 $y$는 각각 소비자의 X재와 Y재 소비량이다.)\n\n가. X재와 Y재는 완전보완재 관계이다.\n나. Y재의 수요함수는 $y = \frac{2M}{3P_X + 2P_Y}$이다.\n다. X재의 가격소비곡선과 소득소비곡선의 기울기는 같다.\n라. X재의 수요의 소득탄력성은 2이다.
cpa_2024_econ_15	소득 120으로 X재와 Y재를 소비하는 소비자의 효용함수가 $U(x,y) = xy$이다. X재와 Y재의 가격은 각각 1이지만, X재는 구입 시 단위당 배달비 3을 추가로 지불해야 한다. X재 판매사는 소비자가 정액으로 $T$를 납부하면 배달비 없이 X재를 구입할 수 있는 회원제를 출시하려고 한다. 소비자가 회원제를 선택하도록 판매사가 설정할 수 있는 $T$의 최댓값은? (단, $x$와 $y$는 각각 X재와 Y재 소비량이며, 소비자는 회원제를 선택하여 얻는 효용이 원래 효용 이상이면 회원제를 선택한다.)
cpa_2024_econ_16	완전경쟁시장에서 거래되는 어느 재화의 수요함수와 공급함수가 각각 다음과 같다.\n\n$Q_D = 240 - 2P$\n$Q_S = 2P$\n\n정부는 다음 두 안 중 하나를 선택하고자 한다.\n\n○ 생산자에게 단위당 20의 종량세를 부과\n○ 구매자가 지불하는 가격이 판매자가 받는 순가격(net price)의 $(1+t)$배가 되도록 생산자에게 세율 $t$의 종가세를 부과\n\n두 안으로부터의 조세수입을 동일하게 만드는 $t$는? (단, $Q_D$는 수요량, $Q_S$는 공급량, $P$는 가격이고, $t < 1$이다.)
